TeamId,TeamName,SubmissionDate,Score
361013,"Bojan Tunguz","2016-08-17 13:39:16",0.00000
361024,"Andrey Vykhodtsev","2016-08-17 14:08:57",0.00000
361040,"Chris Cross","2016-08-17 14:44:31",0.11920
361043,"New Model Army","2016-08-17 14:50:42",0.19543
361069,"Nilabha Bhattacharya","2016-08-17 16:22:02",0.00000
361248,"Make dishwashers great again","2016-08-17 17:03:28",0.19256
361085,"Anna Sinilo","2016-08-17 17:20:09",0.00000
361013,"Bojan Tunguz","2016-08-17 17:30:10",0.01901
361013,"Bojan Tunguz","2016-08-17 17:32:58",0.07863
361013,"Bojan Tunguz","2016-08-17 17:34:32",0.12704
361013,"Bojan Tunguz","2016-08-17 17:35:46",0.18182
361094,DeepMan,"2016-08-17 18:53:18",0.00000
361117,quadcore,"2016-08-17 19:47:09",0.00000
361122,"Faron & NxGTR","2016-08-17 20:04:01",0.19694
361248,"Make dishwashers great again","2016-08-17 20:21:31",0.21177
361248,"Make dishwashers great again","2016-08-17 20:40:01",0.22045
361133,"Chuck Bolin","2016-08-17 20:57:26",0.00000
361248,"Make dishwashers great again","2016-08-17 21:25:48",0.22395
361145,borschi,"2016-08-17 21:41:57",0.00000
361043,"New Model Army","2016-08-17 22:55:00",0.20786
389780,Bill,"2016-08-17 23:22:12",0.00000
389780,Bill,"2016-08-17 23:26:25",0.00013
361164,bigd,"2016-08-17 23:53:26",0.00000
361013,"Bojan Tunguz","2016-08-18 00:16:57",0.19294
361013,"Bojan Tunguz","2016-08-18 00:18:48",0.20933
361013,"Bojan Tunguz","2016-08-18 00:25:32",0.22237
361013,"Bojan Tunguz","2016-08-18 00:29:54",0.22444
361164,bigd,"2016-08-18 00:37:28",0.18799
361122,"Faron & NxGTR","2016-08-18 00:40:52",0.21830
361169,"Lawrence Chernin","2016-08-18 00:41:54",0.00000
361043,"New Model Army","2016-08-18 01:19:33",0.21020
361158,jeffd23,"2016-08-18 01:20:27",0.11854
361179,"Paul H","2016-08-18 02:06:38",0.00000
361248,"Make dishwashers great again","2016-08-18 03:03:49",0.24138
361248,"Make dishwashers great again","2016-08-18 03:31:14",0.25177
361158,jeffd23,"2016-08-18 04:07:22",0.14310
361219,"Soumojit Kumar","2016-08-18 05:42:38",0.00000
361236,"Pablo Araya-Melo","2016-08-18 06:42:31",0.00042
361236,"Pablo Araya-Melo","2016-08-18 06:44:05",0.00257
361281,"Vikram Jha","2016-08-18 09:18:13",0.00000
361293,"Ildi Madák","2016-08-18 10:22:10",0.00000
389780,Bill,"2016-08-18 11:23:42",0.00022
361387,Sterby,"2016-08-18 15:54:39",0.20029
361416,"Another Haunted and Leaked One","2016-08-18 16:49:15",0.23305
361424,PiotrLewanda,"2016-08-18 17:03:34",0.15777
361424,PiotrLewanda,"2016-08-18 17:26:19",0.16969
361445,"Nate Holland","2016-08-18 19:14:53",0.01901
361424,PiotrLewanda,"2016-08-18 19:57:20",0.22801
361471,Terje,"2016-08-18 20:46:34",0.01024
361445,"Nate Holland","2016-08-18 20:50:38",0.10180
361474,DL,"2016-08-18 20:52:11",0.00210
369328,h2o.ai,"2016-08-18 21:19:23",0.15225
386094,LAJMBURO,"2016-08-18 21:24:36",0.21170
369328,h2o.ai,"2016-08-18 21:29:50",0.15765
361480,"Ayman Khalafallah","2016-08-18 21:36:27",0.00000
361501,tomek,"2016-08-18 23:57:12",0.00000
361445,"Nate Holland","2016-08-19 00:23:15",0.12160
361507,"Russ Boucher","2016-08-19 00:26:05",0.00000
361514,SeaBreeze,"2016-08-19 01:00:01",0.00000
369328,h2o.ai,"2016-08-19 01:02:38",0.18273
369328,h2o.ai,"2016-08-19 01:04:59",0.18473
361248,"Make dishwashers great again","2016-08-19 01:39:23",0.25350
361445,"Nate Holland","2016-08-19 02:53:58",0.12753
361422,DataGeek_Blr,"2016-08-19 03:35:30",0.00000
361557,XYZT,"2016-08-19 04:29:39",0.00172
361596,kaiwang0112006,"2016-08-19 07:35:41",0.16962
361379,donf,"2016-08-19 09:29:27",0.05416
361632,"Matt Stroganov","2016-08-19 10:28:41",0.00356
361043,"New Model Army","2016-08-19 12:26:35",0.23143
361650,renFLU,"2016-08-19 12:55:39",0.22301
361651,"Dimitris Leventis","2016-08-19 13:03:11",0.04378
361651,"Dimitris Leventis","2016-08-19 13:29:56",0.13263
361651,"Dimitris Leventis","2016-08-19 13:54:40",0.16191
361651,"Dimitris Leventis","2016-08-19 14:21:42",0.16390
361416,"Another Haunted and Leaked One","2016-08-19 16:02:01",0.23737
361724,juandoso,"2016-08-19 16:22:35",0.00000
361379,donf,"2016-08-19 18:16:41",0.11879
361013,"Bojan Tunguz","2016-08-19 18:31:09",0.22471
361013,"Bojan Tunguz","2016-08-19 18:35:27",0.22621
361761,michfeld,"2016-08-19 19:07:26",-0.00073
361761,michfeld,"2016-08-19 19:09:34",0.04352
361761,michfeld,"2016-08-19 19:12:15",0.04365
361761,michfeld,"2016-08-19 20:06:01",0.22970
389780,Bill,"2016-08-19 20:39:53",0.00026
361463,Wild_Fire,"2016-08-19 21:28:35",0.00000
361117,quadcore,"2016-08-19 21:38:45",0.19921
361463,Wild_Fire,"2016-08-19 21:52:33",0.01901
361463,Wild_Fire,"2016-08-20 01:32:41",0.15216
361841,rka1,"2016-08-20 02:55:09",0.15397
361379,donf,"2016-08-20 04:35:44",0.11979
361651,"Dimitris Leventis","2016-08-20 04:52:20",0.16750
361379,donf,"2016-08-20 05:04:15",0.12879
361379,donf,"2016-08-20 05:11:19",0.14334
361248,"Make dishwashers great again","2016-08-20 07:34:40",0.27676
361416,"Another Haunted and Leaked One","2016-08-20 07:36:07",0.24822
361885,Vadim,"2016-08-20 08:11:38",0.00000
361942,toshi_k,"2016-08-20 11:36:58",0.05926
361975,Telcontar120,"2016-08-20 14:33:48",0.00000
361507,"Russ Boucher","2016-08-20 16:51:00",0.20403
361507,"Russ Boucher","2016-08-20 16:55:43",0.21818
361507,"Russ Boucher","2016-08-20 17:00:34",0.21917
362011,"Igor Pasechnik","2016-08-20 17:05:01",0.21602
361884,odjansse,"2016-08-20 18:39:49",0.23499
362043,Allenbj,"2016-08-20 19:49:17",0.10713
362047,MockTurtle,"2016-08-20 20:44:50",0.20498
361650,renFLU,"2016-08-20 21:36:46",0.23723
361043,"New Model Army","2016-08-20 21:56:43",0.23744
362047,MockTurtle,"2016-08-20 22:25:00",0.21211
361507,"Russ Boucher","2016-08-21 00:10:17",0.22029
362094,"Michael J. Sabal","2016-08-21 01:57:48",0.01730
362120,"Anil Kumar","2016-08-21 05:25:42",-0.00091
362120,"Anil Kumar","2016-08-21 05:33:42",0.00000
361133,"Chuck Bolin","2016-08-21 07:28:02",0.03031
361416,"Another Haunted and Leaked One","2016-08-21 07:37:51",0.26066
361942,toshi_k,"2016-08-21 07:39:07",0.17454
362134,ivo,"2016-08-21 07:42:12",0.00000
362134,ivo,"2016-08-21 07:51:55",0.09668
362011,"Igor Pasechnik","2016-08-21 10:57:09",0.22100
361632,"Matt Stroganov","2016-08-21 12:09:33",0.12261
361379,donf,"2016-08-21 12:48:28",0.15020
361117,quadcore,"2016-08-21 13:01:18",0.21288
361387,Sterby,"2016-08-21 13:10:20",0.23409
361463,Wild_Fire,"2016-08-21 14:04:59",0.16065
362134,ivo,"2016-08-21 14:11:34",0.12789
361651,"Dimitris Leventis","2016-08-21 14:15:47",0.18525
361632,"Matt Stroganov","2016-08-21 14:24:03",0.15995
362221,aleino,"2016-08-21 14:31:26",0.00000
362223,AntoinePassemiers,"2016-08-21 14:31:57",0.00000
362134,ivo,"2016-08-21 14:44:08",0.16894
362214,Hiraku,"2016-08-21 15:36:15",0.03470
362241,mips88,"2016-08-21 15:53:53",0.02966
362043,Allenbj,"2016-08-21 16:16:35",0.21587
361651,"Dimitris Leventis","2016-08-21 16:24:08",0.18557
362255,SimonPreis,"2016-08-21 16:27:56",0.06991
362221,aleino,"2016-08-21 16:33:16",0.12057
361651,"Dimitris Leventis","2016-08-21 16:50:21",0.18675
362221,aleino,"2016-08-21 17:08:51",0.17433
362267,slideroolz,"2016-08-21 17:27:09",0.00000
362094,"Michael J. Sabal","2016-08-21 18:09:58",0.18328
389780,Bill,"2016-08-21 19:05:47",0.00034
362241,mips88,"2016-08-21 19:07:31",0.05643
362328,SM,"2016-08-21 21:55:32",0.00408
362328,SM,"2016-08-21 21:56:54",0.00565
361193,Yogurt,"2016-08-21 23:33:43",0.15470
361117,quadcore,"2016-08-21 23:35:23",0.22223
368085,"Magic Monster Mash","2016-08-22 01:13:26",0.19194
361841,rka1,"2016-08-22 02:42:58",0.18550
362381,"Matthias Granberry","2016-08-22 02:51:03",0.14997
361133,"Chuck Bolin","2016-08-22 03:08:37",0.13246
361133,"Chuck Bolin","2016-08-22 03:22:30",0.13432
362421,"Revenge of the Dodo","2016-08-22 05:38:09",0.02502
362402,:-),"2016-08-22 05:48:40",0.00000
362421,"Revenge of the Dodo","2016-08-22 05:57:58",0.02996
362381,"Matthias Granberry","2016-08-22 06:19:24",0.15614
362381,"Matthias Granberry","2016-08-22 06:46:14",0.17978
362120,"Anil Kumar","2016-08-22 07:06:16",0.00005
362120,"Anil Kumar","2016-08-22 07:13:29",0.00113
361632,"Matt Stroganov","2016-08-22 08:05:15",0.18483
361632,"Matt Stroganov","2016-08-22 09:27:31",0.19798
361651,"Dimitris Leventis","2016-08-22 09:50:02",0.18843
361632,"Matt Stroganov","2016-08-22 10:03:45",0.20890
364297,"Alex/Nico/El macho/MA","2016-08-22 10:47:19",0.06103
361884,odjansse,"2016-08-22 10:59:00",0.23550
362530,"Дмитрий Мусин","2016-08-22 11:21:12",0.00320
361942,toshi_k,"2016-08-22 12:06:12",0.18014
361471,Terje,"2016-08-22 13:22:58",0.07988
362565,"Spark and ""data property""","2016-08-22 13:23:11",0.01960
362574,"Anil Narassiguin","2016-08-22 13:51:26",0.18909
362583,Daggy,"2016-08-22 14:10:08",0.11861
389780,Bill,"2016-08-22 14:37:43",0.00049
389780,Bill,"2016-08-22 14:42:30",0.00067
389780,Bill,"2016-08-22 14:46:34",0.00230
361884,odjansse,"2016-08-22 15:09:57",0.23798
362004,"Mark Peng","2016-08-22 16:14:16",0.10356
362004,"Mark Peng","2016-08-22 16:18:47",0.12381
362004,"Mark Peng","2016-08-22 16:20:37",0.13122
362004,"Mark Peng","2016-08-22 16:21:40",0.13142
362574,"Anil Narassiguin","2016-08-22 16:26:39",0.19071
362328,SM,"2016-08-22 16:45:45",0.02658
362328,SM,"2016-08-22 16:49:51",0.06670
362328,SM,"2016-08-22 16:52:41",0.07214
362583,Daggy,"2016-08-22 18:02:53",0.12663
361122,"Faron & NxGTR","2016-08-22 18:09:25",0.22508
362643,zombozi,"2016-08-22 18:09:39",0.03583
362644,daten-kieker,"2016-08-22 18:17:45",0.00000
362241,mips88,"2016-08-22 18:55:19",0.17602
362506,Glimmung,"2016-08-22 19:26:50",0.12408
362643,zombozi,"2016-08-22 19:27:06",0.04991
361424,PiotrLewanda,"2016-08-22 19:48:20",0.23130
362685,"Dan L","2016-08-22 20:13:23",0.00000
