,response,response,response
,sum,mean,count
flow,,,
26_29_30_33_34_36_37,404,0.0063376525585919115,63746
26_29_30_33_34_35_37,397,0.0064478407042276396,61571
27_29_30_33_34_35_37,117,0.006663629114933364,17558
26_29_30_32_36_37,112,0.4426877470355731,253
27_29_30_33_34_36_37,106,0.005814272393176458,18231
26_29_30_32_35_37,89,0.4494949494949495,198
29_30_33_34_35_37,79,0.01226898586737071,6439
29_30_33_34_36_37,72,0.0109772831224272,6559
0_1_2_5_7_8_10_29_30_33_34_36_37,66,0.0062911066628538745,10491
0_1_3_4_6_8_9_29_30_33_34_35_37,58,0.005784959106323559,10026
0_1_2_4_6_8_9_29_30_33_34_35_37,58,0.005736326772821679,10111
0_1_3_4_6_8_10_29_30_33_34_35_37,56,0.005710206995003569,9807
0_1_3_4_7_8_10_29_30_33_34_36_37,55,0.005466110117272908,10062
0_1_3_5_6_8_11_29_30_33_34_35_37,55,0.005378447095638568,10226
0_1_2_5_7_8_10_29_30_33_34_35_37,54,0.005402701350675338,9995
0_1_3_5_6_8_11_29_30_33_34_36_37,54,0.005219913001449976,10345
25_26_29_30_33_34_36_37,53,0.003850065378468691,13766
0_1_3_4_7_8_11_29_30_33_34_36_37,51,0.005012285012285012,10175
0_1_2_5_6_8_9_29_30_33_34_35_37,51,0.004933255948926291,10338
0_1_3_5_7_8_9_29_30_33_34_36_37,51,0.004898664873691288,10411
0_1_2_4_7_8_11_29_30_33_34_36_37,49,0.004773037210208455,10266
0_1_2_5_7_8_11_29_30_33_34_36_37,49,0.004650721336370539,10536
0_1_3_5_6_8_10_29_30_33_34_35_37,48,0.004780876494023904,10040
0_1_2_4_6_8_11_29_30_33_34_36_37,48,0.004594180704441042,10448
0_1_2_5_6_8_9_29_30_33_34_36_37,48,0.0045476077688299385,10555
0_1_2_4_6_8_11_29_30_33_34_35_37,47,0.004644268774703557,10120
0_1_2_5_6_8_11_29_30_33_34_35_37,47,0.004553381127688432,10322
0_1_2_4_7_8_9_29_30_33_34_36_37,46,0.004491310290958797,10242
0_1_3_4_6_8_9_29_30_33_34_36_37,46,0.004420101854520996,10407
0_1_2_5_6_8_10_29_30_33_34_36_37,46,0.004375118889100247,10514
0_1_3_5_6_8_9_29_30_33_34_35_37,45,0.004391100702576112,10248
0_1_3_5_7_8_10_29_30_33_34_36_37,45,0.004289799809342231,10490
0_1_3_4_7_8_9_29_30_33_34_36_37,44,0.004344820776142984,10127
0_1_2_4_7_8_11_29_30_33_34_35_37,43,0.004346507631658748,9893
0_1_3_4_7_8_9_29_30_33_34_35_37,43,0.004315102860010035,9965
0_1_3_5_7_8_11_29_30_33_34_36_37,43,0.004172326799922375,10306
0_1_3_5_6_8_10_29_30_33_34_36_37,43,0.0041148325358851675,10450
0_1_2_4_6_8_9_29_30_33_34_36_37,43,0.004090952335648369,10511
0_1_3_5_7_8_11_29_30_33_34_35_37,42,0.004190780283376571,10022
0_1_2_5_6_8_10_29_30_33_34_35_37,42,0.004133044676244833,10162
0_1_2_4_7_8_10_29_30_33_34_35_37,41,0.004136400322841001,9912
0_1_2_5_7_8_9_29_30_33_34_35_37,41,0.004057397328055418,10105
0_1_2_5_7_8_11_29_30_33_34_35_37,41,0.004050582888757163,10122
0_1_2_4_7_8_10_29_30_33_34_36_37,41,0.003944583413507793,10394
0_1_2_5_7_8_9_29_30_33_34_36_37,40,0.0037914691943127963,10550
0_1_3_4_7_8_11_29_30_33_34_35_37,39,0.0038863976083707025,10035
25_26_29_30_33_34_35_37,39,0.0029115341545352742,13395
0_1_3_5_7_8_10_29_30_33_34_35_37,38,0.003751233958538993,10130
0_1_3_4_6_8_11_29_30_33_34_36_37,38,0.0037181996086105675,10220
0_1_2_4_7_8_9_29_30_33_34_35_37,37,0.003647116806308526,10145
0_1_2_4_6_8_10_29_30_33_34_35_37,37,0.003626384396746055,10203
0_1_2_5_6_8_11_29_30_33_34_36_37,37,0.003481042431084768,10629
0_1_2_4_6_8_10_29_30_33_34_36_37,36,0.003450920245398773,10432
0_1_3_5_7_8_9_29_30_33_34_35_37,33,0.0032868525896414345,10040
0_1_3_4_6_8_11_29_30_33_34_35_37,33,0.0032868525896414345,10040
0_1_3_4_6_8_10_29_30_33_34_36_37,33,0.003214181357748125,10267
0_1_3_5_6_8_9_29_30_33_34_36_37,32,0.0030616150019135095,10452
0_1_3_4_7_8_10_29_30_33_34_35_37,31,0.00317720610843497,9757
12_13_14_17_18_20_22_29_30_33_34_36_37,29,0.007451181911613566,3892
12_13_15_16_19_20_21_29_30_33_34_36_37,27,0.007066213033237372,3821
24_26_29_30_33_34_36_37,27,0.006212609295904279,4346
